name,LM Main Class,LM Subclass
PE(18:1_22:5),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_22:6),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_24:0),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_24:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:2_22:6),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(20:1_22:3),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(22:1_22:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PG(16:0_18:1),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PG(16:1_18:1),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PG(18:0_18:1),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PG(18:1_18:1),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PG(18:1_20:3),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PG(18:1_22:5),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PG(18:1_22:6),Glycerophosphoglycerols,Diacylglycerophosphoglycerols
PI(16:1_18:1),Glycerophosphoinositols,Diacylglycerophosphoinositols
PI(16:1_18:2),Glycerophosphoinositols,Diacylglycerophosphoinositols
PI(18:0_18:1),Glycerophosphoinositols,Diacylglycerophosphoinositols
PI(18:0_18:2),Glycerophosphoinositols,Diacylglycerophosphoinositols
PI(18:0_20:1),Glycerophosphoinositols,Diacylglycerophosphoinositols
PI(18:0_20:3),Glycerophosphoinositols,Diacylglycerophosphoinositols
PI(18:0_22:4),Glycerophosphoinositols,Diacylglycerophosphoinositols
Plasmanyl-LPC(O-16:0),Glycerophosphocholines,Monoalkylglycerophosphocholines 
Plasmanyl-LPC(O-16:1),Glycerophosphocholines,Monoalkylglycerophosphocholines 
Plasmanyl-PC(O-16:0/16:0),Glycerophosphocholines,"1-alkyl,2-acylglycerophosphocholines"
